"","accuracy","heading","latitude","longitude","speed","timestamp"
"376",3.9,0,39.9878659,-83.0264181,0,1516232187
"377",4,0,39.9878667,-83.0264178,0,1516232188
"378",4,0,39.9878671,-83.0264176,0,1516232189
"379",4,0,39.9878674,-83.0264174,0,1516232190
"380",4,0,39.9878675,-83.0264174,0,1516232191
"381",4,0,39.9878676,-83.0264173,0,1516232192
"382",4,0,39.9878677,-83.0264172,0,1516232193
"383",4,0,39.9878677,-83.0264172,0,1516232194
"384",5,0,39.9878677,-83.0264172,0,1516232195
"385",6,0,39.9878677,-83.0264172,0,1516232196
"386",5,0,39.9878677,-83.0264172,0,1516232197
"387",10,0,39.9878677,-83.0264173,0,1516232198
"388",9,0,39.9878676,-83.0264173,0,1516232199
"389",9,0,39.9878676,-83.0264173,0,1516232200
"390",9,0,39.9878676,-83.0264173,0,1516232201
"391",9,98,39.9878612,-83.0264122,0.97,1516232202
"392",4,90,39.9878605,-83.0263931,1.46,1516232203
"393",3.9,92,39.9878593,-83.0262228,10.42,1516232204
"394",3.9,94,39.9878441,-83.0261219,7.79,1516232205
"395",3.9,94,39.9878427,-83.0260121,8.6,1516232206
"396",3.9,91,39.9878376,-83.0259154,8.14,1516232207
"397",3.9,85,39.9878438,-83.0258257,7.66,1516232208
"398",3.9,69,39.9878603,-83.0257474,7.05,1516232209
"399",3.9,54,39.9878807,-83.0256728,6.52,1516232210
"400",3.9,30,39.9879254,-83.025626,5.99,1516232213
"401",3.9,24,39.9880041,-83.0256072,7.14,1516232212
"402",3.9,17,39.9880985,-83.0256146,8.5,1516232213
"403",3.9,355,39.9881768,-83.0256103,8.94,1516232214
"404",3.9,355,39.9882639,-83.0256144,9.51,1516232215
"405",3.9,355,39.9883566,-83.0256235,9.34,1516232216
"406",3.9,355,39.9884457,-83.0256381,9.31,1516232217
"407",3.9,355,39.9885326,-83.0256511,9.49,1516232218
"408",3.9,355,39.9886199,-83.0256611,9.73,1516232219
"409",3.9,355,39.9887083,-83.025669,9.82,1516232220
"410",3.9,355,39.9887993,-83.025674,9.66,1516232221
"411",3.9,355,39.9888868,-83.0256804,9.26,1516232222
"412",3.9,356,39.9889641,-83.0256863,8.15,1516232223
"413",3.9,356,39.9890228,-83.0256958,7.03,1516232224
"414",3.9,355,39.9890848,-83.0257029,6.58,1516232225
"415",3.9,350,39.9891332,-83.0256965,5.27,1516232226
"416",3.9,354,39.989175,-83.0256984,4.42,1516232227
"417",3.9,326,39.9892029,-83.0256972,2.39,1516232228
"418",3.9,328,39.9892301,-83.0257005,1.95,1516232229
"419",3.9,328,39.9892271,-83.0257108,1.53,1516232230
"420",4,328,39.9892433,-83.0257181,1.12,1516232231
"421",3.9,330,39.9892692,-83.0257258,1.61,1516232232
"422",4,331,39.9892892,-83.0257367,2.15,1516232233
"423",4,335,39.9893081,-83.025742,3.45,1516232234
"424",4,348,39.9893563,-83.0257442,4.07,1516232235
"425",4,345,39.9893956,-83.0257444,4.09,1516232236
"426",4,347,39.9894335,-83.0257497,4.03,1516232237
"427",5,350,39.9894709,-83.0257513,3.83,1516232238
"428",4,354,39.9895026,-83.0257505,2.87,1516232239
"429",4,354,39.9895246,-83.0257513,2.15,1516232240
"430",4,355,39.9895422,-83.0257525,1.81,1516232241
"431",4,357,39.9895583,-83.0257532,1.81,1516232242
"432",4,359,39.9895655,-83.0257529,0.15,1516232243
"433",4,0,39.9895627,-83.0257467,0,1516232244
"434",3.9,0,39.9895607,-83.0257426,0,1516232245
"435",3.9,0,39.9895615,-83.0257411,0,1516232246
"436",3.9,0,39.9895629,-83.025741,0,1516232247
"437",3.9,0,39.9895663,-83.0257414,0,1516232248
"438",3.9,0,39.9895646,-83.0257395,0,1516232249
"439",3.9,0,39.9895649,-83.0257395,0,1516232250
"440",4,0,39.9895661,-83.0257387,0,1516232251
"441",4,0,39.9895679,-83.0257388,0,1516232252
"442",4,0,39.9895689,-83.0257382,0,1516232253
"443",4,0,39.98957,-83.0257382,0,1516232254
"444",5,0,39.9895709,-83.0257374,0,1516232255
"445",4,0,39.9895717,-83.025737,0,1516232256
"446",4,0,39.9895719,-83.0257371,0,1516232257
